,year,month,location,-999,threaten,protest,changepower,purge,changeelection,cooperate,violencelethal,legalchange,censor,violencenonlethal,praise,arrest,disaster,mobilizesecurity,raid,coup,defamationcase,martiallaw
0,2000,2,Mali,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2000,3,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2000,4,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2000,5,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2000,6,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2000,7,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2000,8,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,2000,9,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2000,10,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,2000,11,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,2000,12,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2001,1,Mali,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2001,2,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2001,3,Mali,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,2001,4,Mali,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
15,2001,5,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,2001,6,Mali,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,2001,7,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2001,8,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2001,9,Mali,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2001,10,Mali,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
21,2001,11,Mali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2001,12,Mali,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2002,1,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2002,2,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2002,3,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,2002,4,Mali,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2002,5,Mali,3,0,0,1,0,7,2,0,0,0,0,2,0,0,2,0,0,0,0
28,2002,6,Mali,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2002,7,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,2002,8,Mali,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2002,9,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,2002,10,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,2002,11,Mali,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2002,12,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2003,1,Mali,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
