,city,country,subcountry,geonameid
0,les escaldes,andorra,escaldes-engordany,3040051
1,andorra la vella,andorra,andorra la vella,3041563
2,umm al qaywayn,united arab emirates,umm al qaywayn,290594
3,ras al-khaimah,united arab emirates,raʼs al khaymah,291074
4,khawr fakkān,united arab emirates,ash shāriqah,291696
5,dubai,united arab emirates,dubai,292223
6,dibba al-fujairah,united arab emirates,al fujayrah,292231
7,dibba al-hisn,united arab emirates,al fujayrah,292239
8,sharjah,united arab emirates,ash shāriqah,292672
9,ar ruways,united arab emirates,abu dhabi,292688
10,al fujayrah,united arab emirates,al fujayrah,292878
11,al ain,united arab emirates,abu dhabi,292913
12,ajman,united arab emirates,ajman,292932
13,adh dhayd,united arab emirates,ash shāriqah,292953
14,abu dhabi,united arab emirates,abu dhabi,292968
15,zaranj,afghanistan,nīmrūz,1120985
16,taloqan,afghanistan,takhār,1123004
17,shīnḏanḏ,afghanistan,herat,1125155
18,shibirghān,afghanistan,jowzjān,1125444
19,shahrak,afghanistan,ghowr,1125896
20,sar-e pul,afghanistan,sar-e pol,1127110
21,sang-e chārak,afghanistan,sar-e pol,1127628
22,aībak,afghanistan,samangān,1127768
23,rustāq,afghanistan,takhār,1128265
24,qarqīn,afghanistan,jowzjān,1129516
25,qarāwul,afghanistan,kunduz,1129648
26,pul-e khumrī,afghanistan,wilāyat-e baghlān,1130490
27,paghmān,afghanistan,kabul,1131316
28,nahrīn,afghanistan,wilāyat-e baghlān,1132495
29,maymana,afghanistan,faryab,1133453
30,mehtar lām,afghanistan,laghmān,1133574
31,mazār-e sharīf,afghanistan,balkh,1133616
32,lashkar gāh,afghanistan,helmand,1134720
33,kushk,afghanistan,herat,1135158
34,kunduz,afghanistan,kunduz,1135689
35,khōst,afghanistan,khowst,1136469
36,khulm,afghanistan,balkh,1136575
37,khāsh,afghanistan,nīmrūz,1136863
38,khanabad,afghanistan,kunduz,1137168
39,karukh,afghanistan,herat,1137807
40,kandahār,afghanistan,kandahār,1138336
41,kabul,afghanistan,kabul,1138958
42,jalālābād,afghanistan,nangarhār,1139715
43,jabal os saraj,afghanistan,parvān,1139807
44,herāt,afghanistan,herat,1140026
45,ghormach,afghanistan,badghis,1141089
46,ghazni,afghanistan,ghaznī,1141269
47,gereshk,afghanistan,helmand,1141540
48,gardēz,afghanistan,paktia,1141857
49,fayzabad,afghanistan,badakhshan,1142170
50,farah,afghanistan,farah,1142264
51,kafir qala,afghanistan,herat,1142404
52,charikar,afghanistan,parvān,1145352
53,barakī barak,afghanistan,lowgar,1147066
54,bāmyān,afghanistan,bāmīān,1147242
55,balkh,afghanistan,balkh,1147290
56,baghlān,afghanistan,wilāyat-e baghlān,1147540
57,ārt khwājah,afghanistan,takhār,1148106
58,āsmār,afghanistan,konar,1148205
59,asadābād,afghanistan,konar,1148311
60,andkhōy,afghanistan,faryab,1148658
61,bāzārak,afghanistan,panjshir,1429434
62,markaz-e woluswalī-ye āchīn,afghanistan,nangarhār,1469706
63,saint john’s,antigua and barbuda,saint john,3576022
64,the valley,anguilla,,3573374
65,sarandë,albania,vlorë,363243
66,kukës,albania,kukës,782661
67,korçë,albania,korçë,782756
68,gjirokastër,albania,gjirokastër,783148
69,elbasan,albania,elbasan,783263
70,burrel,albania,dibër,783493
71,vlorë,albania,vlorë,3183719
72,tirana,albania,tiranë,3183875
73,shkodër,albania,shkodër,3184081
74,patos fshat,albania,fier,3184517
75,lushnjë,albania,fier,3184862
76,lezhë,albania,lezhë,3184935
77,laç,albania,lezhë,3185012
78,kuçovë,albania,berat,3185060
79,krujë,albania,durrës,3185082
80,kavajë,albania,tiranë,3185211
81,fier-çifçi,albania,fier,3185670
82,fier,albania,fier,3185672
83,durrës,albania,durrës,3185728
84,berat,albania,berat,3186084
85,kapan,armenia,syunik province,174875
86,goris,armenia,syunik province,174895
87,hats’avan,armenia,syunik province,174972
88,artashat,armenia,ararat province,174979
89,ararat,armenia,ararat province,174991
90,yerevan,armenia,yerevan,616052
91,ejmiatsin,armenia,armavir province,616062
92,spitak,armenia,lori province,616199
93,sevan,armenia,gegharkunik province,616250
94,masis,armenia,ararat province,616435
95,vanadzor,armenia,lori province,616530
96,gavarr,armenia,gegharkunik province,616599
97,hrazdan,armenia,kotayk province,616629
98,armavir,armenia,armavir province,616631
99,gyumri,armenia,shirak province,616635
100,ashtarak,armenia,aragatsotn province,616877
101,abovyan,armenia,kotayk province,617026
102,saurimo,angola,lunda sul,145531
103,lucapa,angola,lunda norte,145724
104,luau,angola,moxico,876177
105,uíge,angola,uíge,2236568
106,soio,angola,zaire,2236967
107,nzeto,angola,zaire,2239001
108,n’dalatando,angola,cuanza norte,2239076
109,mbanza congo,angola,zaire,2239520
110,malanje,angola,malanje,2239862
111,luanda,angola,luanda,2240449
112,caxito,angola,bengo,2242001
113,cabinda,angola,cabinda,2243271
114,sumbe,angola,cuanza sul,3346015
115,namibe,angola,namibe,3347019
116,menongue,angola,cuando cubango,3347353
117,luena,angola,moxico,3347719
118,lubango,angola,huíla,3347762
119,longonjo,angola,huambo,3347853
120,lobito,angola,benguela,3347939
121,cuito,angola,bié,3348078
122,huambo,angola,huambo,3348313
123,catumbela,angola,benguela,3350246
124,catabola,angola,bié,3350372
125,camacupa,angola,bié,3351014
126,caluquembe,angola,huíla,3351024
127,caála,angola,huambo,3351500
128,benguela,angola,benguela,3351663
129,zárate,argentina,buenos aires,3427213
130,villa ocampo,argentina,santa fe,3427388
131,villa lugano,argentina,buenos aires f.d.,3427408
132,villaguay,argentina,entre rios,3427428
133,villa gesell,argentina,buenos aires,3427431
134,tigre,argentina,buenos aires,3427761
135,tandil,argentina,buenos aires,3427833
136,san vicente,argentina,misiones,3428068
137,santo tomé,argentina,corrientes,3428071
138,santa elena,argentina,entre rios,3428359
139,san pedro,argentina,misiones,3428577
140,san luis del palmar,argentina,corrientes,3428708
141,san lorenzo,argentina,corrientes,3428759
142,san javier,argentina,santa fe,3428975
143,san isidro,argentina,buenos aires,3428992
144,saladas,argentina,corrientes,3429403
145,retiro,argentina,buenos aires f.d.,3429576
146,resistencia,argentina,chaco,3429577
147,reconquista,argentina,santa fe,3429594
148,quilmes,argentina,buenos aires,3429652
149,puerto rico,argentina,misiones,3429732
150,puerto iguazú,argentina,misiones,3429777
151,puerto esperanza,argentina,misiones,3429786
152,puerto eldorado,argentina,misiones,3429790
153,posadas,argentina,misiones,3429886
154,pontevedra,argentina,buenos aires,3429902
155,pirané,argentina,formosa,3429949
156,paso de los libres,argentina,corrientes,3430104
157,oberá,argentina,misiones,3430340
158,necochea,argentina,buenos aires,3430443
159,morón,argentina,buenos aires,3430545
160,monte caseros,argentina,corrientes,3430598
161,montecarlo,argentina,misiones,3430601
162,mercedes,argentina,buenos aires,3430708
163,mercedes,argentina,corrientes,3430709
164,mar del plata,argentina,buenos aires,3430863
165,luján,argentina,buenos aires,3430988
166,la plata,argentina,buenos aires,3432043
167,la paz,argentina,entre rios,3432079
168,jardín américa,argentina,misiones,3433349
169,gualeguaychú,argentina,entre rios,3433658
170,gualeguay,argentina,entre rios,3433663
171,goya,argentina,corrientes,3433715
172,gobernador ingeniero valentín virasoro,argentina,corrientes,3433753
173,general josé de san martín,argentina,chaco,3433803
174,garupá,argentina,misiones,3433836
175,formosa,argentina,formosa,3433899
176,fontana,argentina,chaco,3433901
177,federal,argentina,entre rios,3433956
178,esquina,argentina,corrientes,3434095
179,el soberbio,argentina,misiones,3434291
180,dolores,argentina,buenos aires,3435038
181,curuzú cuatiá,argentina,corrientes,3435103
182,corrientes,argentina,corrientes,3435217
183,concordia,argentina,entre rios,3435261
184,concepción del uruguay,argentina,entre rios,3435264
185,colegiales,argentina,buenos aires f.d.,3435356
186,chajarí,argentina,entre rios,3435486
187,campana,argentina,buenos aires,3435810
188,buenos aires,argentina,buenos aires f.d.,3435910
189,barranqueras,argentina,chaco,3436124
190,azul,argentina,buenos aires,3436199
191,avellaneda,argentina,santa fe,3436230
192,aristóbulo del valle,argentina,misiones,3436287
193,zapala,argentina,neuquen,3832132
194,yerba buena,argentina,tucumán,3832260
195,villa regina,argentina,rio negro,3832647
196,villa paula de sarmiento,argentina,san juan,3832653
197,villa nueva,argentina,cordoba,3832662
198,villa maría,argentina,cordoba,3832694
199,villa dolores,argentina,cordoba,3832756
200,villa constitución,argentina,santa fe,3832778
201,villa carlos paz,argentina,cordoba,3832791
202,villa ángela,argentina,chaco,3832811
203,villa allende,argentina,cordoba,3832815
204,viedma,argentina,rio negro,3832899
205,victoria,argentina,entre rios,3832934
206,vera,argentina,santa fe,3833027
207,venado tuerto,argentina,santa fe,3833062
208,veinticinco de mayo,argentina,buenos aires,3833112
209,ushuaia,argentina,tierra del fuego,3833367
210,unquillo,argentina,cordoba,3833412
211,tres isletas,argentina,chaco,3833794
212,tres arroyos,argentina,buenos aires,3833859
213,trelew,argentina,chubut,3833883
214,termas de río hondo,argentina,santiago del estero,3834502
215,tartagal,argentina,salta,3834601
216,tafí viejo,argentina,tucumán,3834813
217,sunchales,argentina,santa fe,3834971
218,santo tomé,argentina,santa fe,3835793
219,santiago del estero,argentina,santiago del estero,3835869
220,santa rosa,argentina,la pampa,3835994
221,santa lucía,argentina,san juan,3836194
222,santa fe de la vera cruz,argentina,santa fe,3836277
223,san salvador de jujuy,argentina,jujuy,3836564
224,san ramón de la nueva orán,argentina,salta,3836620
225,san rafael,argentina,mendoza,3836669
226,san pedro,argentina,jujuy,3836772
227,san nicolás de los arroyos,argentina,buenos aires,3836846
228,san miguel de tucumán,argentina,tucumán,3836873
229,san martín de los andes,argentina,neuquen,3836951
230,san martín,argentina,mendoza,3836992
231,san luis,argentina,san luis,3837056
232,san justo,argentina,santa fe,3837124
233,san juan,argentina,san juan,3837213
234,san josé de jáchal,argentina,san juan,3837240
235,san jorge,argentina,santa fe,3837441
236,san francisco,argentina,cordoba,3837675
237,san fernando del valle de catamarca,argentina,catamarca,3837702
238,san antonio oeste,argentina,rio negro,3837980
239,salta,argentina,salta,3838233
240,rufino,argentina,santa fe,3838506
241,rosario,argentina,santa fe,3838583
242,río tercero,argentina,cordoba,3838793
243,río segundo,argentina,cordoba,3838797
244,río gallegos,argentina,santa cruz,3838859
245,río cuarto,argentina,cordoba,3838874
246,río ceballos,argentina,cordoba,3838902
247,rawson,argentina,chubut,3839307
248,rafaela,argentina,santa fe,3839479
249,quitilipi,argentina,chaco,3839490
250,punta alta,argentina,buenos aires,3839982
251,puerto madryn,argentina,chubut,3840092
252,presidencia roque sáenz peña,argentina,chaco,3840300
253,pocito,argentina,san juan,3840860
254,plottier,argentina,neuquen,3840885
255,pergamino,argentina,buenos aires,3841490
256,pérez,argentina,santa fe,3841500
257,paraná,argentina,entre rios,3841956
258,palpalá,argentina,jujuy,3842190
259,olavarría,argentina,buenos aires,3842670
260,nueve de julio,argentina,buenos aires,3842881
261,neuquén,argentina,neuquen,3843123
262,morteros,argentina,cordoba,3843619
263,monteros,argentina,tucumán,3843803
264,mendoza,argentina,mendoza,3844421
265,marcos juárez,argentina,cordoba,3844899
266,machagai,argentina,chaco,3845330
267,lincoln,argentina,buenos aires,3846864
268,libertador general san martín,argentina,jujuy,3846915
269,las breñas,argentina,chaco,3848687
270,la rioja,argentina,la rioja,3848950
271,la falda,argentina,cordoba,3851331
272,la calera,argentina,cordoba,3852374
273,laboulaye,argentina,cordoba,3852468
274,junín,argentina,buenos aires,3853354
275,joaquín v. gonzález,argentina,salta,3853491
276,jesús maría,argentina,cordoba,3853510
277,granadero baigorria,argentina,santa fe,3854895
278,gobernador gálvez,argentina,santa fe,3854985
279,general roca,argentina,rio negro,3855065
280,general pinedo,argentina,chaco,3855074
281,general pico,argentina,la pampa,3855075
282,general enrique mosconi,argentina,salta,3855116
283,gálvez,argentina,santa fe,3855244
284,firmat,argentina,santa fe,3855554
285,famaillá,argentina,tucumán,3855666
286,esquel,argentina,chubut,3855974
287,esperanza,argentina,santa fe,3856022
288,embarcación,argentina,salta,3856231
289,embalse,argentina,cordoba,3856235
290,el bolsón,argentina,rio negro,3858765
291,diamante,argentina,entre rios,3859384
292,deán funes,argentina,cordoba,3859512
293,cutral-có,argentina,neuquen,3859552
294,cruz del eje,argentina,cordoba,3859828
295,crespo,argentina,entre rios,3859904
296,cosquín,argentina,cordoba,3859965
297,coronel suárez,argentina,buenos aires,3860164
298,coronda,argentina,santa fe,3860217
299,córdoba,argentina,cordoba,3860259
300,comodoro rivadavia,argentina,chubut,3860443
301,cipolletti,argentina,rio negro,3861056
302,cinco saltos,argentina,rio negro,3861061
303,chivilcoy,argentina,buenos aires,3861344
304,chimbas,argentina,san juan,3861416
305,chilecito,argentina,la rioja,3861445
306,charata,argentina,chaco,3861678
307,chacabuco,argentina,buenos aires,3861953
308,centenario,argentina,neuquen,3862144
309,caucete,argentina,san juan,3862240
310,catriel,argentina,rio negro,3862254
311,castelli,argentina,chaco,3862320
312,casilda,argentina,santa fe,3862351
313,carcarañá,argentina,santa fe,3862655
314,capitán bermúdez,argentina,santa fe,3862738
315,cañada de gómez,argentina,santa fe,3862981
316,caleta olivia,argentina,santa cruz,3863379
317,bell ville,argentina,cordoba,3864331
318,bella vista,argentina,tucumán,3864375
319,bahía blanca,argentina,buenos aires,3865086
320,arroyo seco,argentina,santa fe,3865385
321,arroyito,argentina,cordoba,3865424
322,añatuya,argentina,santiago del estero,3865840
323,alta gracia,argentina,cordoba,3866163
324,allen,argentina,rio negro,3866242
325,alderetes,argentina,tucumán,3866367
326,albardón,argentina,san juan,3866425
327,aguilares,argentina,tucumán,3866496
328,villa santa rita,argentina,buenos aires f.d.,6693230
329,villa mercedes,argentina,san luis,7116866
330,san carlos de bariloche,argentina,rio negro,7647007
331,adrogué,argentina,buenos aires,10172104
332,pago pago,american samoa,eastern district,5881576
333,wolfsberg,austria,carinthia,2760910
334,wiener neustadt,austria,lower austria,2761353
335,vienna,austria,vienna,2761369
336,wels,austria,upper austria,2761524
337,weinzierl bei krems,austria,lower austria,2761669
338,villach,austria,carinthia,2762372
339,traun,austria,upper austria,2763423
340,traiskirchen,austria,lower austria,2763460
341,ternitz,austria,lower austria,2763795
342,steyr,austria,upper austria,2764359
343,spittal an der drau,austria,carinthia,2764786
344,schwechat,austria,lower austria,2765388
345,sankt pölten,austria,lower austria,2766429
346,salzburg,austria,salzburg,2766824
347,saalfelden am steinernen meer,austria,salzburg,2766922
348,mödling,austria,lower austria,2771335
349,lustenau,austria,vorarlberg,2772173
350,linz,austria,upper austria,2772400
351,leonding,austria,upper austria,2772635
352,leoben,austria,styria,2772649
353,kufstein,austria,tyrol,2773300
354,krems an der donau,austria,lower austria,2773549
355,klosterneuburg,austria,lower austria,2773913
356,klagenfurt am wörthersee,austria,carinthia,2774326
357,kapfenberg,austria,styria,2774773
358,innsbruck,austria,tyrol,2775220
359,hallein,austria,salzburg,2776951
360,graz,austria,styria,2778067
361,feldkirch,austria,vorarlberg,2779674
362,dornbirn,austria,vorarlberg,2780741
363,bregenz,austria,vorarlberg,2781503
364,braunau am inn,austria,upper austria,2781520
365,baden,austria,lower austria,2782067
366,amstetten,austria,lower austria,2782555
367,ansfelden,austria,salzburg,3323063
368,whyalla,australia,south australia,2058430
369,rockingham,australia,western australia,2062338
370,prospect,australia,south australia,2062944
371,port hedland,australia,western australia,2063042
372,perth,australia,western australia,2063523
373,murray bridge,australia,south australia,2065176
374,mount isa,australia,queensland,2065594
375,morphett vale,australia,south australia,2065740
376,mandurah,australia,western australia,2067119
377,kwinana,australia,western australia,2068079
378,kalgoorlie,australia,western australia,2068823
379,gosnells,australia,western australia,2070571
380,geraldton,australia,western australia,2070998
381,gawler,australia,south australia,2071059
382,fremantle,australia,western australia,2071223
383,darwin,australia,northern territory,2073124
384,busselton,australia,western australia,2075265
385,bunbury,australia,western australia,2075432
386,armadale,australia,western australia,2077579
387,alice springs,australia,northern territory,2077895
388,albany,australia,western australia,2077963
389,adelaide,australia,south australia,2078025
390,woodridge,australia,queensland,2143069
391,wodonga,australia,victoria,2143285
392,werribee,australia,victoria,2144095
393,warrnambool,australia,victoria,2144528
394,wantirna south,australia,victoria,2144728
395,wangaratta,australia,victoria,2144764
396,wagga wagga,australia,new south wales,2145110
397,traralgon,australia,victoria,2146108
398,townsville,australia,queensland,2146142
399,toowoomba,australia,queensland,2146268
400,thornbury,australia,victoria,2146793
401,thomastown,australia,victoria,2146827
402,tarneit,australia,victoria,2147357
403,taree,australia,new south wales,2147381
404,tamworth,australia,new south wales,2147497
405,sydney,australia,new south wales,2147714
406,surfers paradise,australia,queensland,2147849
407,sunnybank,australia,queensland,2147892
408,sunbury,australia,victoria,2147914
409,port stephens,australia,new south wales,2148398
410,springvale,australia,victoria,2148591
411,southport,australia,queensland,2148928
412,south grafton,australia,new south wales,2148997
413,shepparton,australia,victoria,2149645
414,seaford,australia,victoria,2149975
415,saint kilda,australia,victoria,2150660
416,saint albans,australia,victoria,2150717
417,rowville,australia,victoria,2150894
418,rockhampton,australia,queensland,2151437
419,richmond,australia,victoria,2151649
420,reservoir,australia,victoria,2151716
421,queanbeyan,australia,new south wales,2152286
422,quakers hill,australia,new south wales,2152329
423,preston,australia,victoria,2152558
424,port macquarie,australia,new south wales,2152659
425,point cook,australia,victoria,2152819
426,pakenham south,australia,victoria,2153951
427,orange,australia,new south wales,2154219
428,nowra,australia,new south wales,2154787
429,northcote,australia,victoria,2155001
430,noble park,australia,victoria,2155204
431,newcastle,australia,new south wales,2155472
432,nerang,australia,queensland,2155542
433,narre warren,australia,victoria,2155718
434,narangba,australia,queensland,2155787
435,mulgrave,australia,victoria,2156340
436,mount martha,australia,victoria,2156578
437,mount gambier,australia,south australia,2156643
438,mount eliza,australia,victoria,2156663
439,mosman,australia,new south wales,2156813
440,mornington,australia,victoria,2156878
441,morayfield,australia,queensland,2156934
442,moe,australia,victoria,2157343
443,mill park,australia,victoria,2157635
444,mildura,australia,victoria,2157698
445,melton,australia,victoria,2158151
446,melbourne,australia,victoria,2158177
447,maryborough,australia,queensland,2158562
448,marrickville,australia,new south wales,2158626
449,maroubra,australia,new south wales,2158651
450,maitland,australia,new south wales,2159045
451,mackay,australia,queensland,2159220
452,liverpool,australia,new south wales,2159851
453,lismore,australia,new south wales,2160063
454,lilydale,australia,victoria,2160188
455,launceston,australia,tasmania,2160517
456,lara,australia,victoria,2160560
457,langwarrin,australia,victoria,2160582
458,lalor,australia,victoria,2160706
459,keysborough,australia,victoria,2161532
460,kew,australia,victoria,2161540
461,katoomba,australia,new south wales,2161776
462,hornsby,australia,new south wales,2163137
463,hobart,australia,tasmania,2163355
464,hawthorn south,australia,victoria,2163776
465,hampton park,australia,victoria,2163990
466,griffith,australia,new south wales,2164422
467,greensborough,australia,victoria,2164515
468,granville,australia,new south wales,2164691
469,goulburn,australia,new south wales,2164837
470,gold coast,australia,queensland,2165087
471,glenroy,australia,victoria,2165200
472,glenferrie,australia,victoria,2165329
473,gladstone,australia,queensland,2165478
474,geelong,australia,victoria,2165798
475,frankston east,australia,victoria,2166143
476,frankston,australia,victoria,2166144
477,forster,australia,new south wales,2166309
478,essendon,australia,victoria,2167208
479,epping,australia,victoria,2167279
480,epping,australia,new south wales,2167280
481,engadine,australia,new south wales,2167312
482,eltham,australia,victoria,2167445
483,echuca,australia,victoria,2167817
484,earlwood,australia,new south wales,2167949
485,dubbo,australia,new south wales,2168305
486,doncaster east,australia,victoria,2168605
487,doncaster,australia,victoria,2168607
488,devonport,australia,tasmania,2168943
489,deer park,australia,victoria,2169145
490,deception bay,australia,queensland,2169220
491,dandenong,australia,victoria,2169460
492,cronulla,australia,new south wales,2169956
493,cranbourne,australia,victoria,2170078
494,cranbourne,australia,victoria,2170079
495,craigieburn,australia,victoria,2170089
496,coffs harbour,australia,new south wales,2171085
497,coburg,australia,victoria,2171168
498,clayton,australia,victoria,2171400
499,wollongong,australia,new south wales,2171507
500,cessnock,australia,new south wales,2171845
501,castle hill,australia,new south wales,2172111
502,carrum downs,australia,victoria,2172191
503,carnegie,australia,victoria,2172264
504,carlingford,australia,new south wales,2172303
505,caringbah,australia,new south wales,2172311
506,canberra,australia,australian capital territory,2172517
507,camberwell,australia,victoria,2172686
508,caloundra,australia,queensland,2172710
509,cairns,australia,queensland,2172797
510,caboolture,australia,queensland,2172832
511,burnie,australia,tasmania,2173125
512,bundaberg,australia,queensland,2173323
513,buderim,australia,queensland,2173605
514,brunswick,australia,victoria,2173741
515,broken hill,australia,new south wales,2173911
516,brisbane,australia,queensland,2174003
517,boronia,australia,victoria,2174580
518,blacktown,australia,new south wales,2175411
519,berwick,australia,victoria,2176031
520,bendigo,australia,victoria,2176187
521,baulkham hills,australia,new south wales,2176592
522,bathurst,australia,new south wales,2176632
523,banora point,australia,new south wales,2176934
524,bankstown,australia,new south wales,2176947
525,ballarat,australia,victoria,2177091
526,auburn,australia,new south wales,2177513
527,ashfield,australia,new south wales,2177565
528,armidale,australia,new south wales,2177671
529,albury,australia,new south wales,2178174
530,south brisbane,australia,queensland,2207259
531,cheltenham,australia,victoria,2207618
532,randwick,australia,new south wales,2208285
533,dee why,australia,new south wales,2208305
534,umina,australia,new south wales,2208313
535,palmerston,australia,northern territory,6301965
536,bracken ridge,australia,queensland,6943558
537,north ryde,australia,new south wales,7281782
538,hoppers crossing,australia,victoria,7281807
539,logan city,australia,queensland,7281838
540,carindale,australia,queensland,7281839
541,paramatta,australia,new south wales,7281840
542,ferntree gully,australia,victoria,7281850
543,city of parramatta,australia,new south wales,7302259
544,adelaide hills,australia,south australia,7302628
545,canning vale,australia,western australia,7302631
546,glenmore park,australia,new south wales,7302642
547,glen iris,australia,victoria,7932612
548,balwyn north,australia,victoria,7932629
549,carnegie,australia,victoria,7932636
550,malvern east,australia,victoria,7932638
551,brighton east,australia,victoria,7932646
552,booval,australia,queensland,7932654
553,st albans,australia,victoria,8015209
554,endeavour hills,australia,victoria,8347325
555,clayton,australia,victoria,8347717
556,taylors lakes,australia,victoria,8347847
557,roxburgh park,australia,victoria,8347896
558,wyndham vale,australia,victoria,8348078
559,willetton,australia,western australia,8348101
560,thornbury,australia,victoria,8348734
561,thornlie,australia,western australia,8349108
562,hillside,australia,victoria,8349243
563,bundoora,australia,victoria,8349381
564,forest lake,australia,queensland,9957340
565,sunnybank hills,australia,queensland,9957350
566,narre warren south,australia,victoria,9972518
567,dandenong north,australia,victoria,9972522
568,frankston south,australia,victoria,9972527
569,sunshine west,australia,victoria,9972578
570,altona meadows,australia,victoria,9972579
571,west pennant,australia,new south wales,9972964
572,oranjestad,aruba,,3577154
573,babijn,aruba,,3577277
574,angochi,aruba,,3577284
575,mariehamn,aland islands,mariehamns stad,3041732
576,xankandi,azerbaijan,xankǝndi,146970
577,əhmədbəyli,azerbaijan,saatlı,147059
578,shushi,azerbaijan,şuşa,147105
579,salyan,azerbaijan,salyan,147271
580,saatlı,azerbaijan,saatlı,147288
581,neftçala,azerbaijan,neftçala,147425
582,nakhchivan,azerbaijan,nakhichevan,147429
583,lankaran,azerbaijan,lənkəran,147622
584,imishli,azerbaijan,i̇mişli,147982
585,fizuli,azerbaijan,füzuli,148106
586,dzhalilabad,azerbaijan,jalilabad,148290
587,pushkino,azerbaijan,bilǝsuvar,148340
588,beylagan,azerbaijan,beyləqan,148354
589,astara,azerbaijan,astara,148445
590,şirvan,azerbaijan,shirvan,148565
591,ağdam,azerbaijan,ağdam,148619
592,zaqatala,azerbaijan,zaqatala,584596
593,zabrat,azerbaijan,baki,584614
594,yevlakh,azerbaijan,yevlax city,584649
595,yelenendorf,azerbaijan,goygol rayon,584716
596,xaçmaz,azerbaijan,xaçmaz,584717
597,ujar,azerbaijan,ucar,584791
598,terter,azerbaijan,tǝrtǝr,584871
599,sumqayıt,azerbaijan,sumqayit,584923
600,qaraçuxur,azerbaijan,baki,585103
601,shamkhor,azerbaijan,şǝmkir,585152
602,shamakhi,azerbaijan,şamaxı,585156
603,sheki,azerbaijan,shaki city,585170
604,sabunçu,azerbaijan,baki,585184
605,sabirabad,azerbaijan,sabirabad,585187
606,qusar,azerbaijan,qusar,585220
607,quba,azerbaijan,quba,585221
608,hacıqabul,azerbaijan,hacıqabul,585225
609,qazax,azerbaijan,qazax,585226
610,hacı zeynalabdin,azerbaijan,sumqayit,585379
611,mingelchaur,azerbaijan,mingǝcevir,585514
612,maştağa,azerbaijan,baki,585557
613,mardakan,azerbaijan,baki,585568
614,lökbatan,azerbaijan,baki,585630
615,kyurdarmir,azerbaijan,kürdǝmir,585763
616,khirdalan,azerbaijan,abşeron,585915
617,yeni suraxanı,azerbaijan,baki,586340
618,geoktschai,azerbaijan,göyçay,586427
619,hövsan,azerbaijan,baki,586429
620,ganja,azerbaijan,gǝncǝ,586523
621,divichibazar,azerbaijan,shabran,586763
622,buzovna,azerbaijan,baki,586925
623,biny selo,azerbaijan,baki,586968
624,barda,azerbaijan,bǝrdǝ,587057
625,bilajari,azerbaijan,baki,587078
626,baku,azerbaijan,baki,587084
627,amirdzhan,azerbaijan,baki,587261
628,aghsu,azerbaijan,ağsu,587361
629,ağdaş,azerbaijan,ağdaş,587378
630,agdzhabedy,azerbaijan,ağcabǝdi,587384
631,bakıxanov,azerbaijan,baki,824003
632,zenica,bosnia and herzegovina,federation of bosnia and herzegovina,3186573
633,visoko,bosnia and herzegovina,federation of bosnia and herzegovina,3187609
634,velika kladuša,bosnia and herzegovina,federation of bosnia and herzegovina,3188225
635,tuzla,bosnia and herzegovina,federation of bosnia and herzegovina,3188582
636,trebinje,bosnia and herzegovina,republika srpska,3188893
637,travnik,bosnia and herzegovina,federation of bosnia and herzegovina,3188924
638,sarajevo,bosnia and herzegovina,federation of bosnia and herzegovina,3191281
639,prijedor,bosnia and herzegovina,republika srpska,3192409
640,mostar,bosnia and herzegovina,federation of bosnia and herzegovina,3194828
641,gradačac,bosnia and herzegovina,federation of bosnia and herzegovina,3199744
642,gračanica,bosnia and herzegovina,federation of bosnia and herzegovina,3199779
643,goražde,bosnia and herzegovina,federation of bosnia and herzegovina,3200396
644,doboj,bosnia and herzegovina,republika srpska,3201984
645,cazin,bosnia and herzegovina,federation of bosnia and herzegovina,3202822
646,bugojno,bosnia and herzegovina,federation of bosnia and herzegovina,3203099
647,brčko,bosnia and herzegovina,brčko,3203521
648,bosanska krupa,bosnia and herzegovina,federation of bosnia and herzegovina,3203653
649,bijeljina,bosnia and herzegovina,republika srpska,3204186
650,bihać,bosnia and herzegovina,federation of bosnia and herzegovina,3204222
651,banja luka,bosnia and herzegovina,republika srpska,3204541
652,konjic,bosnia and herzegovina,federation of bosnia and herzegovina,3337476
653,bridgetown,barbados,saint michael,3374036
654,thākurgaon,bangladesh,rangpur division,1185092
655,teknāf,bangladesh,chittagong,1185095
656,tungi,bangladesh,dhaka,1185098
657,sylhet,bangladesh,sylhet,1185099
658,dohār,bangladesh,dhaka,1185100
659,jamālpur,bangladesh,dhaka,1185106
660,shibganj,bangladesh,rājshāhi,1185108
661,sātkhira,bangladesh,khulna,1185111
662,sirājganj,bangladesh,rājshāhi,1185115
663,netrakona,bangladesh,dhaka,1185116
664,narsingdi,bangladesh,dhaka,1185117
665,sandwīp,bangladesh,chittagong,1185120
666,shāhzādpur,bangladesh,rājshāhi,1185121
667,rāmganj,bangladesh,chittagong,1185127
668,rājshāhi,bangladesh,rājshāhi,1185128
669,pirojpur,bangladesh,barisāl,1185138
670,panchagarh,bangladesh,rangpur division,1185141
671,patiya,bangladesh,chittagong,1185148
672,parbatipur,bangladesh,rangpur division,1185149
673,nārāyanganj,bangladesh,dhaka,1185155
674,nālchiti,bangladesh,barisāl,1185156
675,nāgarpur,bangladesh,dhaka,1185159
676,nageswari,bangladesh,rangpur division,1185160
677,mymensingh,bangladesh,dhaka,1185162
